hour,CTR
00,0.18035135793880105
01,0.18577373312320264
02,0.17610773780703248
03,0.1741993036459588
04,0.15956741795010632
05,0.16338736309889268
06,0.168116395867123
07,0.1791903158293643
08,0.1632046345307652
09,0.16010404142328175
10,0.16125591518692992
11,0.17043668613850818
12,0.17073260960676861
13,0.16843427260510815
14,0.1774484358882315
15,0.18120976909055445
16,0.17944523696306863
17,0.17326500214089294
18,0.16817221741350857
19,0.1639955242845493
20,0.16051084775134364
21,0.16066560385432288
22,0.16383957342969357
23,0.17184169932740656
